full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
offensive-security/exploitdb-bin-sploits,Exploit Database binary exploits located in the /sploits directory,https://github.com/offensive-security/exploitdb-bin-sploits,"['exploit', 'sploit']",2,2021-10-18T00:05:48+0000,1534762,1514,Python,520,[]
ChrisTheCoolHut/Linux_kernel_exploitation,https://breaking-bits.gitbook.io/breaking-bits/exploit-development/linux-kernel-exploit-development,https://github.com/ChrisTheCoolHut/Linux_kernel_exploitation,['exploit'],1,2021-10-18T04:35:09+0000,11512,2,C,0,[]
Micro0x00/exploit,None,https://github.com/Micro0x00/exploit,['exploit'],1,2021-10-18T06:12:58+0000,0,0,,0,[]
xiaojiangxl/CVE-2021-40438,None,https://github.com/xiaojiangxl/CVE-2021-40438,['cve-2 OR cve_2'],1,2021-10-18T02:04:07+0000,0,0,Python,0,['CVE-2021-40438']
sutriaman322/metasploit,None,https://github.com/sutriaman322/metasploit,['metasploit module OR payload'],1,2021-10-18T01:11:29+0000,0,0,,0,[]
FxllenCode/QQ_Attack_A5,"POC of wild CWE-425 in Roblox's beta app. Note: This is just part of the vuln, the rest is private. ",https://github.com/FxllenCode/QQ_Attack_A5,"['attack poc', 'vuln poc']",2,2021-10-18T00:09:01+0000,0,0,JavaScript,0,[]
exrocean/RConsoleEmulator,A RConsole Emulator for Roblox Exploits that don't support RConsole.,https://github.com/exrocean/RConsoleEmulator,['exploit'],1,2021-10-18T02:30:56+0000,2,0,,0,[]
anvbis/heap,Heap exploitation techniques.,https://github.com/anvbis/heap,['exploit'],1,2021-10-18T03:32:47+0000,5096,0,C,0,[]
w4li/exploit,None,https://github.com/w4li/exploit,['exploit'],1,2021-10-18T00:47:57+0000,1,0,,0,[]
s7ck-Team/exploit-db,exploit-db备份,https://github.com/s7ck-Team/exploit-db,['exploit'],1,2021-10-18T01:53:19+0000,9521,0,PHP,0,[]
febinrev/CVE-2019-6447-ESfile-explorer-exploit,ES File Explorer v4.1.9.7.4 Open port vulnerability exploit. CVE-2019-6447 ,https://github.com/febinrev/CVE-2019-6447-ESfile-explorer-exploit,"['cve-2 OR cve_2', 'exploit']",2,2021-10-18T06:26:31+0000,3,1,Shell,0,['CVE-2019-6447']
itscarlosm/Red-vs-Blue-Project,"This is a Red Team vs. Blue Team scenario in which 3 other team members and myself played the role of both pentester and SOC analyst. As the Red Team, we attacked a vulnerable VM within our environment, ultimately gaining root access to the machine. As Blu",https://github.com/itscarlosm/Red-vs-Blue-Project,['exploit'],1,2021-10-18T06:20:02+0000,1443,0,,0,[]
ExtonHoward/Raven_Security_project,Penetration test and exploitation of multiple web servers at Raven Security,https://github.com/ExtonHoward/Raven_Security_project,['exploit'],1,2021-10-18T02:29:47+0000,2848,0,Shell,0,[]
commixproject/commix,Automated All-in-One OS Command Injection Exploitation Tool.,https://github.com/commixproject/commix,"['command injection', 'exploit']",2,2021-10-18T05:57:35+0000,5431,2930,Python,650,[]
HeiTang/Zrss,RSS feeds for HITCON ZeroDay’s vulnerability list,https://github.com/HeiTang/Zrss,['zeroday'],1,2021-10-18T01:11:34+0000,11319,2,Python,0,[]
wjddnjs33/Exploit,Exploit Code,https://github.com/wjddnjs33/Exploit,['exploit'],1,2021-10-18T00:01:39+0000,17641,0,CSS,0,[]
ycdxsb/PocOrExp_in_Github,聚合Github上已有的Poc或者Exp，CVE信息来自CVE官网。Auto Collect Poc Or Exp from Github by CVE ID.,https://github.com/ycdxsb/PocOrExp_in_Github,['cve poc'],1,2021-10-18T01:52:06+0000,78995,212,Python,61,[]
Patrowl/PatrowlHearsData,"Open-Source Vulnerability Intelligence Center - Unified source of vulnerability, exploit and threat Intelligence feeds",https://github.com/Patrowl/PatrowlHearsData,['exploit'],1,2021-10-18T00:03:29+0000,415395,32,,19,[]
Mr-xn/RedTeam_BlueTeam_HW,红蓝对抗以及护网相关工具和资料，内存shellcode（cs+msf）查杀工具,https://github.com/Mr-xn/RedTeam_BlueTeam_HW,['shellcode'],1,2021-10-18T05:57:19+0000,145398,292,Batchfile,88,[]
cdk-team/CDK,"CDK is an open-sourced container penetration toolkit, offering stable exploitation in different slimmed containers without any OS dependency. It comes with penetration tools and many powerful PoCs/EXPs helps you to escape container and takeover K8s cluster",https://github.com/cdk-team/CDK,['exploit'],1,2021-10-18T02:48:45+0000,9781,1783,Go,276,[]
0xKira/peda,PEDA - Python Exploit Development Assistance for GDB,https://github.com/0xKira/peda,['exploit'],1,2021-10-18T05:05:07+0000,823,13,Python,5,[]
n3m1dotsys/CVE-2018-16763-Exploit-Python3,None,https://github.com/n3m1dotsys/CVE-2018-16763-Exploit-Python3,"['cve poc', 'cve-2 OR cve_2', 'exploit', 'vulnerability poc']",4,2021-10-18T00:55:48+0000,1,2,Python,1,['CVE-2018-16763']
hahwul/mad-metasploit,"Metasploit custom modules, plugins, resource script and.. awesome metasploit collection",https://github.com/hahwul/mad-metasploit,['metasploit module OR payload'],1,2021-10-18T00:16:47+0000,157661,252,Ruby,77,[]
shellphish/how2heap,A repository for learning various heap exploitation techniques.,https://github.com/shellphish/how2heap,['exploit'],1,2021-10-18T00:38:24+0000,305,4835,C,945,[]
7pill/RCE-Webmin1.58,nan,https://github.com/7pill/RCE-Webmin1.58,['rce'],1,2021-10-18T06:24:58+0000,0,0,Python,0,[]
